"id","userId","searchDate","networkCount","caseNumber"
"ab3911f8-2cd4-4165-9a4d-bbe21807624b","***","2026-07-04T14:15:55.558Z","4","2026-011283"
"a9749edb-bef6-4b6d-95c5-7b2ea8f0038b","***","2026-07-08T20:33:35.048Z","4","2026-011534"
"2d09c2a5-8e02-4d0b-ad3f-4bac464ed0d2","***","2026-07-08T21:01:28.044Z","4","2026-011534"
"3f49cdb6-89d5-482f-ac2c-283d331d2afe","***","2026-07-09T12:42:09.809Z","4","2026-011534"
"235988a2-b45e-41e3-885e-4da8050f938f","***","2026-07-09T13:00:58.650Z","1","2026-011534"
"843f742c-f17d-4312-bd71-d87e7d30fffc","***","2026-07-09T14:31:15.069Z","1","2026-011534"
"b140a17d-131d-4755-9500-82d5499dfc1f","***","2026-07-09T15:06:21.937Z","4","2026-011582"
"54d51cd2-8cff-4d4b-8487-c26e72f1ee60","***","2026-07-10T22:29:33.196Z","4","2026-011582"
"ae92ee89-1991-4789-9879-9735bbd954b0","***","2026-07-10T23:11:00.905Z","4","2026-011582"
"dbddaeb2-2e5a-4b01-98be-99c25ac2668f","***","2026-07-11T00:01:14.747Z","4","2026-011582"
"fcbd33ce-e3e3-4d8a-b0aa-700372d82920","***","2026-07-11T01:02:03.620Z","4","2026-011582"
"157d3c56-529b-4e9b-bfb5-95c76fd75015","***","2026-07-15T04:42:15.482Z","4","2026-011582"
"30eb8292-0c94-4f68-8ea3-d5b533078b45","***","2026-07-15T05:22:17.822Z","4","050258"
"4fe6d79c-59a4-4145-bf5e-6ae45b6a807f","***","2026-07-16T20:51:14.877Z","4","2026-007216"
"5fc8e5ff-094c-4359-a023-8d5c59ed7269","***","2026-07-16T21:00:00.678Z","4","2026-010845"
"2e260d4d-74aa-49dc-9219-468abd5ba29c","***","2026-07-19T08:14:13.990Z","4","2026-012345"
"7464627f-3ceb-4ac2-8632-15ae4cc7cb33","***","2026-07-23T15:41:06.415Z","4","2026012475"
"3516282e-1eda-42a8-b5a5-aa5880ae75f7","***","2026-07-31T22:54:26.760Z","4","2026-012220"
