"id","userId","searchDate","networkCount","reason","caseNumber","offenseType"
"1048d5bf-ea75-43f5-8596-3d83c44631a5","***","2026-08-14T05:00:32.642Z","2","bolo missing endangered dementia patient","cfs26-19544 georgetown so","Missing/Endangered Person/Runaway"
"1b1b4c34-435a-4eea-aa37-ece3feb1a033","***","2026-08-14T13:07:09.898Z","1173","RESEARCHING SUSPECT VEHICLE / LOCATIONS SINCE THEFT","2026006480","Motor Vehicle Theft/Stolen"
"a8bf2548-906a-4f56-a32c-9bb46ebc4609","***","2026-08-14T13:37:09.297Z","1172","verification of  travel story","","Traffic Infraction"
"837dd209-2041-4c30-a6a2-4264f972449a","***","2026-08-14T13:54:23.433Z","2","RESEARCHING SUSPECT VEHICLE","2026006356","Larceny/Theft Offenses"
"33e9a33b-8bef-4494-b8dd-02918f2700a7","***","2026-08-14T15:31:28.024Z","2","Motorcycle Theft","2026006480","Motor Vehicle Theft/Stolen"
"784e40c2-b3ca-40be-9e4c-20cb478fc4dc","***","2026-08-14T15:33:46.806Z","2","Possible Out of State Suspect Involved in Local Fraud","2026006275","Financial Crime (Embezzlement/Fraud)"
"feb2411e-8839-4f16-9bcd-8ad7529dd235","***","2026-08-14T18:03:49.263Z","3","possible DUI suspect - complaint of reckless driving","None","Driving Under the Influence (DUI/DWI/OWI/OVI)"
"66368bcf-8e3f-4ff1-a1e7-0d7a62b3953d","***","2026-08-14T18:07:54.772Z","2","TRESPASS","202600529104","Trespass"
"686e1a57-f27c-49b0-aa1a-ead2267b1548","***","2026-08-14T18:23:52.022Z","2","Potential suspect","2026006588","Destruction/Damage/Vandalism of Property"
"6ae6ca0d-5602-4f5a-b743-64866927964d","***","2026-08-14T18:47:23.645Z","2","Suspect vehicle","2026006275","Financial Crime (Embezzlement/Fraud)"
"14e4bbd2-3316-4905-9986-0608104b156e","***","2026-08-14T19:01:22.594Z","2","Suspect vehicle","2026006275","Financial Crime (Embezzlement/Fraud)"
"d547fe15-6566-4bec-b9c7-99ef56d65bfc","***","2026-08-14T19:27:04.701Z","1098","Investigation","2026005635","Traffic Infraction"
"29fbe5ab-743c-4b17-98c3-d76290054a3f","***","2026-08-14T20:53:45.454Z","2","TRESPASS","202600529104","Trespass"
"96b1647e-b941-4a0f-ab5c-362ef869475e","***","2026-08-14T20:54:16.240Z","2","HIT AND RUN","202600529104","Hit and Run/Car Accident"
"7fe5928d-c677-4b4d-83b8-ae5df2397a26","***","2026-08-14T21:01:24.818Z","2","HIT AND RUN","202600529104","Hit and Run/Car Accident"
"06fd5fcc-91b2-4d23-9ad0-9af3d01ebe07","***","2026-08-15T10:18:21.931Z","2","RESEARCHING SUSPECT VEHICLE","2026006356","Larceny/Theft Offenses"
"fde3e1b5-a745-4875-ac12-dae1e57d4dc6","***","2026-08-15T10:25:10.193Z","2","Hit and Run FIXED OBJ","202600530655","Hit and Run/Car Accident"
"92250bb9-ff17-4723-98bd-af0211997b5a","***","2026-08-15T11:44:35.652Z","5","ATTEMPTING TO ID SUSPECT VEHICLE","2026006590","Larceny/Theft Offenses"
"fd0c7aeb-211d-4cbd-8dfc-220e25b38ab1","***","2026-08-15T11:56:58.781Z","2","Hit and run collision","2026006609","Hit and Run/Car Accident"
"b6b032f8-4b85-4341-ad0d-23ac3b6d52ea","***","2026-08-15T12:04:03.887Z","1097","Hit and Run","2026006609","Hit and Run/Car Accident"
"a24ae338-c4a2-4d99-a9b5-98d03dc8d306","***","2026-08-15T16:28:45.434Z","2","hit and run","2026004834","Hit and Run/Car Accident"
"44aef662-ae9b-41ee-aea8-bef7ceacd5e4","***","2026-08-15T17:25:35.964Z","3","wanted suspect","2026006608","Wanted Person (Arrest Warrant/Fugitive)"
"522e8edf-082c-462a-8b35-84962f14e437","***","2026-08-15T20:39:19.991Z","1170","warrants","Not our case. Warrants out of Berkley County","Wanted Person (Arrest Warrant/Fugitive)"
"6e9d2c9d-e338-45bf-9ce3-147bbcea8c37","***","2026-08-15T20:43:48.854Z","1170","wanted","2026006608","Wanted Person (Arrest Warrant/Fugitive)"
"c9c959b7-390f-4177-8fb1-96a1b985f534","***","2026-08-16T03:06:18.639Z","2","murder suspect bolo","2026000532273","Assault/Battery Offenses"
"e3d2215e-e972-487b-872d-3976a7dd0a70","***","2026-08-16T03:21:33.181Z","1170","suspect","NCPD BOLO","Homicide/Death Investigation"
"acae2f97-e522-4fff-baa2-0733adcf3bc8","***","2026-08-16T14:23:37.336Z","2","theft","2026005999","Larceny/Theft Offenses"
"bb25d1ea-7886-44c1-bdd4-484bb0fbebcd","***","2026-08-16T18:51:42.696Z","2","HIT AND RUN POSS FALSE POLICE REPORT","2026006636","Hit and Run/Car Accident"
"52b47df8-4109-45eb-9d93-7e5693ec0645","***","2026-08-17T11:18:37.624Z","2","Shoplifting","2026006479","Larceny/Theft Offenses"
"098154e8-124c-43ab-ada4-e7d3c6ef0551","***","2026-08-17T12:25:31.826Z","1171","nordstrom shoplifting suspect vehicle","2026006590","Larceny/Theft Offenses"
"e002f166-b129-4dee-afc2-5af6f946d8ed","***","2026-08-17T13:57:39.233Z","2","Suspicious activity","2026004148","Sex Offenses"
"9dee5ed9-fb01-4aa0-b6dc-b68bda2f4c6b","***","2026-08-17T13:59:28.120Z","2","RESEARCHING SUSPECT VEHICLE","2026006590","Larceny/Theft Offenses"
"1cb920a3-71b5-4b5c-859e-d8e2ddf39908","***","2026-08-17T14:36:49.288Z","2","Suspicious activity","2026004148","Sex Offenses"
"65da0b82-1403-4103-996e-2852797e0fab","***","2026-08-17T15:19:42.453Z","2","Suspicious activity","2026004148","Sex Offenses"
"a97a409a-fbb9-449b-b13a-7fe36c91d314","***","2026-08-17T16:33:02.302Z","2","Suspicious activity","2026004148","Sex Offenses"
"7825cb55-fb1d-4ace-bec9-a2e7a0665a28","***","2026-08-17T19:38:22.835Z","2","RESEARCHING SUSPECT VEHICLE / LOCATIONS SINCE THEFT","2026006480","Motor Vehicle Theft/Stolen"
"301c9ba4-5849-4cd2-a4f4-723c02a1c497","***","2026-08-17T20:47:01.201Z","1169","RESEARCHING SUSPECT VEHICLE / TIES TO MOUNT PLEASANT","SUMMERVILLE PD 26064613","Financial Crime (Embezzlement/Fraud)"
"da559282-7296-4f27-8d30-7406dc204ed1","***","2026-08-18T13:59:14.075Z","1169","RESEARCHING SUSPECT VEHICLE / TIES TO MOUNT PLEASANT","SUMMERVILLE PD 26064613","Financial Crime (Embezzlement/Fraud)"
"bc9e2e64-7577-45a4-a31b-64ab0011f551","***","2026-08-18T13:59:45.970Z","1169","RESEARCHING SUSPECT VEHICLE","2026006689","Missing/Endangered Person/Runaway"
"8444f2c6-60be-4936-aecf-123840ae6ae8","***","2026-08-18T14:00:06.624Z","1169","RESEARCHING SUSPECT VEHICLE","2026006689","Missing/Endangered Person/Runaway"
"8f925648-3ab5-480c-b84f-5bf0b8234d4d","***","2026-08-18T15:26:13.803Z","2","verifying travel story","202600537059","Traffic Infraction"
"ae1add58-75b1-4089-8e86-00aba1f2a085","***","2026-08-18T19:20:14.116Z","2","Sex Crime / ICAC","2026004971","Sex Offenses"
"53661eb3-1f39-4e56-bdb7-54c6aa3b1daa","***","2026-08-19T02:04:07.591Z","1166","Sex Crime / ICAC","2026004971","Sex Offenses"
"82073b24-e977-496d-8b47-ac3bcfb797b7","***","2026-08-19T12:00:44.808Z","2","Violent Crimes","Retention Period Test","Other"
"24f7fb20-3c4b-4da9-8d81-789e06b90fe8","***","2026-08-19T12:31:06.991Z","2","Theft","2026006709","Larceny/Theft Offenses"
"1b014084-2338-435d-acf7-1e6cb2841528","***","2026-08-19T23:10:44.914Z","2","Burglary","2026006747","Trespass"
