"id","searchDate","networkCount","offenseType"
"d4e750bd-a80c-4da0-8e84-894721bb0af3","2026-07-28T15:46:02.325Z","2716","Drugs/Narcotics"
"7418b429-f84f-48c4-8732-25b8b036c258","2026-07-28T16:03:32.699Z","202","Drugs/Narcotics"
"89d37514-4621-473a-8fd7-b100abf845b4","2026-07-28T16:12:41.294Z","2715","Drugs/Narcotics"
"8d919b38-f7e6-405d-89d5-686c7723c0d1","2026-07-28T20:25:12.521Z","2712","Drugs/Narcotics"
"192b9702-5f17-44ba-b3ba-31e3651f2b7c","2026-07-28T20:25:55.875Z","2713","Indecent Exposure/Lewd"
"b5501c64-175e-4436-ab0e-c5d3b18015a2","2026-07-29T03:27:46.461Z","2","Criminal Motor Vehicle Offense (incl. Road Rage/Reckless)"
"96cf3c83-dfaa-4492-a814-9b7d8191f223","2026-07-29T19:19:54.048Z","2708","Drugs/Narcotics"
"c1502027-9cfe-4223-8d9b-6c2c4d181ae7","2026-07-30T14:05:18.103Z","2709","Wanted Person (Arrest Warrant/Fugitive)"
"3d43fcb9-e409-4e03-9b6a-120d1bd74e5d","2026-07-30T19:48:10.635Z","2705","Drugs/Narcotics"
"f3ad798c-ff04-41df-9278-b56177ce54bb","2026-07-31T14:52:24.769Z","2","Obstructing the Police (Fleeing/Eluding)"
"e38b49c5-d985-4dee-bbaf-662823720ef6","2026-07-31T15:32:02.094Z","2","Obstructing the Police (Fleeing/Eluding)"
"bee43f0e-0413-4b8a-8826-c62c18ccf75f","2026-07-31T16:40:49.216Z","2","Obstructing the Police (Fleeing/Eluding)"
"659298d0-2d6a-41d0-8c1d-8daa3eb61c91","2026-08-01T04:34:57.472Z","2702","Obstructing the Police (Fleeing/Eluding)"
"a9f6de1c-4bbc-4dc7-8e8c-b766670f8cb8","2026-08-01T04:37:01.400Z","1","Obstructing the Police (Fleeing/Eluding)"
"eab6f10f-ede2-434b-a51b-394a4c4cd6df","2026-08-02T07:03:06.906Z","2694","Missing/Endangered Person/Runaway"
"905f0a02-811d-4a21-ad19-871bb10220ba","2026-08-02T07:07:17.467Z","2","Missing/Endangered Person/Runaway"
"187298fe-8759-4639-b378-dc8d388e81c7","2026-08-02T07:15:34.628Z","6362","Missing/Endangered Person/Runaway"
"ba381f6a-f18f-468f-b214-1397b07b967d","2026-08-02T15:34:35.177Z","2","Obstructing the Police (Fleeing/Eluding)"
"c151ba44-e478-4d3e-a611-142dd3f9d15d","2026-08-03T06:37:04.540Z","2694","Driving Under the Influence (DUI/DWI/OWI/OVI)"
"f4e2dba5-d4a5-477c-afad-0062e9a34111","2026-08-03T13:21:00.634Z","2","Motor Vehicle Theft/Stolen"
"c07901a5-9f01-4d87-bd65-1085277b10b3","2026-08-03T13:22:18.999Z","3","Motor Vehicle Theft/Stolen"
"799b6130-bb5b-452d-b312-cd25cdc2c332","2026-08-03T13:28:04.155Z","2693","Motor Vehicle Theft/Stolen"
"48af79c6-d51e-49c0-9d6a-527dc9915848","2026-08-03T19:42:57.680Z","1","Counterfeiting/Forgery"
"a5d7ce54-62da-4047-aa1f-a7eca9dfc123","2026-08-03T20:00:29.317Z","6349","Counterfeiting/Forgery"
"c1e7fc4a-883d-48cd-9ee8-1c39b0a9c811","2026-08-03T22:00:43.898Z","2","Larceny/Theft Offenses"
"53789fa7-eef2-4556-8dfa-afc6227d28d8","2026-08-04T13:10:02.332Z","2","Counterfeiting/Forgery"
"b6a0840f-858f-4c21-9382-048810a6b27c","2026-08-04T14:01:52.845Z","2","Counterfeiting/Forgery"
"ddcd0f85-1784-482e-9066-5718e30f8b6c","2026-08-04T14:42:02.758Z","2691","Destruction/Damage/Vandalism of Property"
"6ddc7036-41af-464c-99b5-9bfd825a10ef","2026-08-04T15:00:05.080Z","2","Destruction/Damage/Vandalism of Property"
"97c709c4-42ce-4e92-9857-2948887b54df","2026-08-05T19:46:33.734Z","2","Hit and Run/Car Accident"
"c037fbc6-07c5-4a61-a191-d14743b8738b","2026-08-06T17:52:36.776Z","6","Larceny/Theft Offenses"
"c8071c66-8d58-460a-acda-baf149a76639","2026-08-06T18:04:08.719Z","10","Larceny/Theft Offenses"
"89d6dd12-2d71-4fe0-8f7c-05a84e874f67","2026-08-06T18:29:53.043Z","2672","Wanted Person (Arrest Warrant/Fugitive)"
"4f5e22cd-b567-421e-868e-fe52194333da","2026-08-06T19:07:43.769Z","2","Larceny/Theft Offenses"
"512b69c4-9f3e-47b5-908f-0f512b216656","2026-08-06T20:00:52.036Z","2","Larceny/Theft Offenses"
"b8d818ca-0f31-4b5b-901f-df320e9233c7","2026-08-07T04:04:55.917Z","2","Hit and Run/Car Accident"
"76dcd9db-8d99-4461-a3af-8454e104d500","2026-08-07T09:07:29.073Z","2","Wanted Person (Arrest Warrant/Fugitive)"
"69119f09-dfdb-4580-8e4c-cce8a9efa85a","2026-08-07T15:39:19.313Z","2","Missing/Endangered Person/Runaway"
"e152a032-7c34-4ec4-ad2a-9b202910f040","2026-08-07T15:40:27.347Z","2668","Missing/Endangered Person/Runaway"
"1edd4dbe-4e3a-4a2e-8fd0-eae07ee28730","2026-08-07T19:07:25.408Z","13","Larceny/Theft Offenses"
"c8053c61-988e-41d4-94c6-d692944740e7","2026-08-07T21:31:36.589Z","2666","Assault/Battery Offenses (Domestic)"
"1bc3ba3d-a27e-4da9-8185-e736fad0a8dc","2026-08-07T21:35:22.168Z","2667","Assault/Battery Offenses (Domestic)"
"8f41f91f-e15c-4984-8c9d-c073081c8e33","2026-08-07T22:23:39.135Z","2665","Assault/Battery Offenses (Domestic)"
"c884e7c5-3e4b-4e7b-bbc7-3b186f41f6d8","2026-08-07T23:48:48.421Z","2667","Assault/Battery Offenses (Domestic)"
"4725d82e-943d-4b92-8c6b-d8a58f06d138","2026-08-08T00:00:45.774Z","2667","Hit and Run/Car Accident"
"fb44f21e-64fb-4345-b65c-1e9bcc07c080","2026-08-08T00:49:58.572Z","2","Child Abuse/Neglect"
"4e17cd0b-fbdf-4c11-bb75-17b60ae30d4f","2026-08-08T01:00:45.564Z","9","Child Abuse/Neglect"
"2d402bf5-24fa-446e-a0bd-170b7b389865","2026-08-08T01:00:54.226Z","2","Child Abuse/Neglect"
"31f342fc-ab81-4689-b1b2-946a99ae5970","2026-08-10T13:28:28.559Z","2","Hit and Run/Car Accident"
"9ddc54e5-2378-4ce1-b3ba-248d775b856c","2026-08-10T13:34:11.971Z","2","Hit and Run/Car Accident"
"6c6c4314-9a83-4a0e-9231-9f0c2b9d2e4e","2026-08-10T13:38:05.077Z","2666","Hit and Run/Car Accident"
"8a218c3c-ff3b-4a09-b181-dc5b97a69323","2026-08-10T14:05:56.878Z","6340","Hit and Run/Car Accident"
"019c3361-b7d8-4659-a5a3-479a0071f35a","2026-08-10T14:07:29.083Z","203","Hit and Run/Car Accident"
"50a15277-b5df-4f5f-a576-9716b3f53623","2026-08-10T15:01:19.418Z","203","Hit and Run/Car Accident"
"2de2fe89-f9ca-48ac-a7e0-dd30985bd4cf","2026-08-10T15:14:05.317Z","2","Hit and Run/Car Accident"
"d6416dc1-61fa-4d05-9de9-d473b9b3fa86","2026-08-10T17:50:41.737Z","203","Hit and Run/Car Accident"
"90ae58fc-f16b-439c-925c-23755eef5458","2026-08-11T00:40:55.426Z","4","Financial Crime (Embezzlement/Fraud)"
