"id","userId","searchDate","networkCount","caseNumber","offenseType"
"6320d3e3-3c09-4c76-ae72-ed25cde9f60f","***","2026-08-02T02:16:16.793Z","372","2608010195","Hit and Run/Car Accident"
"c2b127a2-baff-4e2d-b63c-ae37d4885e82","***","2026-08-02T02:27:21.879Z","352","26-5668","Homicide/Death Investigation"
"70010251-83a4-4e62-9155-74c6f815c637","***","2026-08-02T03:49:52.608Z","372","26-5668","Assault/Battery Offenses (Domestic)"
"3fc51cce-1653-4646-94cc-e4b520aec26d","***","2026-08-02T04:10:59.693Z","352","26-5668","Homicide/Death Investigation"
"d93a9163-f143-4190-841e-18187f9c3daa","***","2026-08-02T04:40:35.162Z","372","26-5668","Assault/Battery Offenses (Domestic)"
"e244caeb-2e15-4f5a-b265-3f4cf9ded40f","***","2026-08-02T05:11:49.526Z","372","26-5668","Assault/Battery Offenses (Domestic)"
"07e18fa2-6774-4729-949c-9f8b9dfa5b4a","***","2026-08-02T15:07:40.436Z","2","26-2090","Financial Crime (Embezzlement/Fraud)"
"2e405de5-397a-49ec-ae0c-93574b554da4","***","2026-08-02T19:57:17.812Z","373","267210","Destruction/Damage/Vandalism of Property"
"4d8cfa4b-08c5-45eb-8737-3c39728591e2","***","2026-08-02T20:00:13.095Z","373","26-7210","Destruction/Damage/Vandalism of Property"
"f2ee2df0-feee-47d5-acd0-8dffbc3d6c2f","***","2026-08-02T20:38:37.663Z","373","260001","Criminal Motor Vehicle Offense (incl. Road Rage/Reckless)"
"a6ecbf13-0032-4fde-ab47-1362b0155bfb","***","2026-08-02T21:26:45.122Z","373","26-0001","Assault/Battery Offenses (Domestic)"
"31b3bc92-d6d8-49a1-b9c1-4dfefeb286ac","***","2026-08-02T21:38:23.563Z","2","267224","Homicide/Death Investigation"
"b64fb221-0cb5-4a7b-b667-7e273d35de2e","***","2026-08-02T22:18:11.069Z","373","26-0001","Assault/Battery Offenses (Domestic)"
"26d53480-16dc-408e-80e8-721f4ca6ec84","***","2026-08-02T22:43:55.764Z","373","2608020123","Motor Vehicle Theft/Stolen"
"a77a29b0-581a-4d79-b5bf-9a285db9dd01","***","2026-08-03T01:43:45.854Z","372","26-7098","Homicide/Death Investigation"
"e13283f3-2285-4555-8851-350902b0b1d9","***","2026-08-03T01:46:01.927Z","373","26-7245","Assault/Battery Offenses"
"41837204-7433-4f77-87d8-cd7f43f24186","***","2026-08-03T05:06:35.086Z","373","26-7224","Homicide/Death Investigation"
"921ed800-81f7-4bae-a46c-d25e9a65846b","***","2026-08-03T05:36:13.491Z","373","26-7106","Motor Vehicle Theft/Stolen"
"95376e6c-7a50-4748-bc14-470360debc1c","***","2026-08-03T06:20:36.187Z","1","2608020207","Weapons Offense (Guns/Shots Fired)"
"ca4d70fb-2a09-486e-bd23-eb6afe8cb7e1","***","2026-08-03T09:03:24.725Z","373","2608020221","Traffic Infraction"
"5a4dd59b-8345-4727-a65e-a472fe9fe8ed","***","2026-08-03T10:23:48.251Z","373","26-7251","Weapons Offense (Guns/Shots Fired)"
"e9e29698-762e-47ae-9ad3-78f3810072e6","***","2026-08-03T10:34:34.580Z","373","26-7251","Weapons Offense (Guns/Shots Fired)"
"ab0f198c-99d2-4914-b0e4-505c191c0d21","***","2026-08-03T11:00:35.443Z","373","26-7251","Weapons Offense (Guns/Shots Fired)"
"5b377152-ed8a-4ae2-bc3a-4a8ad40a1b1d","***","2026-08-03T12:43:09.903Z","373","26-7251","Weapons Offense (Guns/Shots Fired)"
"841fc4a1-3a7c-488e-861e-b1eda0837564","***","2026-08-03T13:33:34.948Z","2","26-7251","Weapons Offense (Guns/Shots Fired)"
"5fbcd637-cec8-4c60-a553-152edcb761f5","***","2026-08-03T15:18:54.780Z","2","26-7224","Homicide/Death Investigation"
"e55cc9b0-aed2-404b-b303-6de05280a564","***","2026-08-03T20:24:16.040Z","352","26-7266","Stolen Property Offenses"
