"id","userId","searchDate","networkCount"
"7d7f8ea5-f2fb-4407-ab19-7cb921436a4e","***","2026-07-13T17:06:35.570Z","527"
"6ef7e799-2244-4c07-a5e1-f13f723b3e91","***","2026-07-13T18:02:56.231Z","527"
"86741ff9-a9cf-4c45-bbd5-8c4cbf2fa476","***","2026-07-14T12:10:56.057Z","1"
"283e148d-a2d4-4edb-be4f-cdaf0f154dd0","***","2026-07-14T13:10:26.211Z","527"
"5dc1dcbf-2fed-40e4-b515-d89adc370e16","***","2026-07-14T13:11:52.302Z","527"
"b4f47565-82ce-4eae-ba1e-46cd54d37db1","***","2026-07-14T15:26:22.059Z","527"
"ea995448-b206-45f3-86e2-7b38d8deb871","***","2026-07-15T05:52:37.672Z","527"
"c066d42b-7fb3-4366-af82-cccc3b1ff2a1","***","2026-07-15T05:55:26.813Z","1"
"77a46438-1066-4dd4-87d6-d7831f2c7e51","***","2026-07-15T06:05:11.839Z","527"
"3fcabc25-5269-495c-ba3a-9174030ba042","***","2026-07-15T06:27:43.683Z","527"
"83f26536-89d0-493d-be60-3df8e0b79596","***","2026-07-15T06:47:53.123Z","527"
"a1640a9f-5c59-4ff3-b086-040a8628db3f","***","2026-07-15T07:05:36.746Z","527"
"c094a792-ceeb-40e8-97b3-6d1b17733830","***","2026-07-15T07:26:29.607Z","1"
"2da3de4d-dd22-4f89-b77a-ddc05b6d089e","***","2026-07-15T07:53:34.439Z","527"
"499f01e6-5e88-4c78-853a-099c6317cd89","***","2026-07-15T08:00:58.850Z","1"
"8631a607-7843-4dcb-a89b-a956d078a793","***","2026-07-15T08:10:05.620Z","527"
"2415684a-ce86-4e42-b3ed-225ceaeea74f","***","2026-07-15T09:10:17.097Z","527"
"c6c21356-d084-4ecf-8a4e-54047b4da7f2","***","2026-07-15T09:18:47.871Z","527"
"05edb56d-4df4-41be-8433-94f802e978a3","***","2026-07-15T10:03:15.052Z","527"
"caf71a75-05aa-4aae-9c82-95714b9dd46c","***","2026-07-15T20:17:36.169Z","527"
"4b43bafd-fe6b-4ebf-8aff-1af8e9637095","***","2026-07-16T03:40:51.629Z","527"
