"id","userId","searchDate","networkCount","caseNumber","offenseType"
"10f0241b-44e5-4182-900d-ec703e08fc1a","***","2026-07-11T11:10:34.956Z","1376","2607P-1952","Weapons Offense (Guns/Shots Fired)"
"affc1a87-1695-452c-ad41-691089794025","***","2026-07-11T19:30:05.160Z","1383","2607P-2539","Burglary/Breaking & Entering"
"624d71ce-6394-4f3b-b238-fdae26042dbe","***","2026-07-11T19:38:51.567Z","1260","2607p-2539","Burglary/Breaking & Entering"
"61df91c0-1841-437b-909d-192993cb4478","***","2026-07-11T23:34:21.943Z","3","2607P-1952","Weapons Offense (Guns/Shots Fired)"
"f001e8e3-603e-4d6e-a9d6-efeb3ef2ea81","***","2026-07-12T00:01:04.411Z","3","2607P-1952","Weapons Offense (Guns/Shots Fired)"
"d8329581-b9ff-490f-a8eb-cc4b2a38be28","***","2026-07-12T01:11:22.653Z","1376","2607P-1952","Weapons Offense (Guns/Shots Fired)"
"c8eea11a-19aa-40f3-b0bd-411635f07c40","***","2026-07-12T02:36:20.000Z","1376","2606P-2976","Destruction/Damage/Vandalism of Property"
"aefe441c-28e0-47ca-990b-744ff6570abb","***","2026-07-12T02:51:16.912Z","1260","2606p-5940","Wanted Person (Arrest Warrant/Fugitive)"
"941805f1-7849-4efa-9e89-0717b7d4c050","***","2026-07-12T03:02:44.868Z","1376","2607P-1952","Weapons Offense (Guns/Shots Fired)"
"f2d18dda-ff53-428f-b2ea-fec4c4a25d23","***","2026-07-12T07:21:37.274Z","1376","2607P-1952","Weapons Offense (Guns/Shots Fired)"
"0feaddb0-a6b3-4dfd-91e5-d340a57eabf8","***","2026-07-13T00:26:13.540Z","1376","2607d-1311","Wanted Person (Arrest Warrant/Fugitive)"
"73d491ea-abf6-4852-9b12-e8e6132822ec","***","2026-07-13T01:29:54.801Z","1376","2607p-2806","Wanted Person (Arrest Warrant/Fugitive)"
"19c492cf-35f4-4430-ba90-1b061d1e1ebf","***","2026-07-13T06:03:11.758Z","1376","2607p-2853","Wanted Person (Arrest Warrant/Fugitive)"
"3342abf4-6276-492f-a6ee-c1e4dc35f1bf","***","2026-07-13T13:38:53.050Z","1383","2607P-2539","Burglary/Breaking & Entering"
"1d8affe3-29e4-4b9b-9cd0-8a719c13a9f9","***","2026-07-13T14:02:30.874Z","1383","2607P-2765","Motor Vehicle Theft/Stolen"
"1b344401-2f51-4948-9a3e-03f828619f4a","***","2026-07-13T15:05:33.571Z","1","2607P-2539","Burglary/Breaking & Entering"
"fad73884-9be3-4069-bbee-b54c7de447e9","***","2026-07-13T15:13:55.441Z","1","2607p-2359","Larceny/Theft Offenses"
"d16dee7a-fc9e-42db-8eac-2ea2c8b4d05e","***","2026-07-13T15:19:48.869Z","3","2606P-3497","Hit and Run/Car Accident"
"940b4441-dca2-4e4a-92db-1a30e70e580a","***","2026-07-13T16:28:31.098Z","1","Test for obstruction","Welfare Check"
"e2e82fff-4536-4947-85e4-717ccede1b76","***","2026-07-13T16:31:30.061Z","1","test","Animal Offenses (cruelty/neglect)"
"adfc5134-a111-4dbe-b190-7f77de9b18d6","***","2026-07-13T17:33:19.082Z","1375","2605P-0376","Hit and Run/Car Accident"
"ef372357-9808-4f1a-9470-665d9c45bde1","***","2026-07-13T20:38:06.229Z","4","2607P-2694","Hit and Run/Car Accident"
"32d471b1-040c-4514-8f32-832486ffa862","***","2026-07-13T21:00:09.989Z","1","2607P-2694","Hit and Run/Car Accident"
"9c78b7ca-10e5-4658-8061-8b0f2e4418b2","***","2026-07-13T22:04:50.152Z","1363","2607P-3006","Motor Vehicle Theft/Stolen"
"cdc88935-5920-4bad-8f36-602bccc09890","***","2026-07-13T22:22:29.482Z","1363","2607p-2539","Larceny/Theft Offenses"
"7d21c849-be0b-4e20-8f77-1d26e6ea343c","***","2026-07-13T22:24:05.288Z","1363","2607P-3006","Motor Vehicle Theft/Stolen"
"206c442a-b860-4f69-8000-406424d55d79","***","2026-07-13T22:26:39.781Z","1356","2607P-3006","Motor Vehicle Theft/Stolen"
"b4143ff0-ccc1-4a72-b87e-08ffd40796e4","***","2026-07-13T22:56:52.928Z","2","2607p-2359","Larceny/Theft Offenses"
"38dababd-f78a-4f33-ad53-6db492908f12","***","2026-07-13T23:00:18.214Z","3","2607P-3026","Motor Vehicle Theft/Stolen"
"068b52f4-da1f-4bce-8e95-dd7fb7a865e6","***","2026-07-13T23:00:36.956Z","1363","2607P-3026","Motor Vehicle Theft/Stolen"
"f2f4d198-fadc-47cb-b6fc-6329877fa957","***","2026-07-13T23:02:55.170Z","1363","2607P-3026","Motor Vehicle Theft/Stolen"
"0e79c4d5-55d3-44da-8d38-262ffa59f9ec","***","2026-07-13T23:25:05.599Z","1","ccpd 211","Larceny/Theft Offenses"
"fcd2927c-0b72-46a4-b3cf-d4bcd4430957","***","2026-07-14T00:00:35.459Z","1363","2607c-1781","Larceny/Theft Offenses"
"21d22f2d-a91e-4b28-8761-a02e2828db29","***","2026-07-14T00:15:34.884Z","1363","2607P-3006","Financial Crime (Embezzlement/Fraud)"
"35305b6f-d1e9-4737-bacb-60d4b2730f9f","***","2026-07-14T02:50:56.388Z","1363","2607P-3067","Driving Under the Influence (DUI/DWI/OWI/OVI)"
"611eb188-2330-4713-bb21-02191dc7e9ae","***","2026-07-14T02:52:27.021Z","1356","3067","Alcohol Offenses (Non-DUI)"
"e176569f-f9c6-4db1-9f6e-635d57870806","***","2026-07-14T14:17:50.419Z","1360","2607P-0539","Larceny/Theft Offenses"
"62bc799a-9274-4141-a17b-b3558ab7534c","***","2026-07-14T14:39:24.968Z","1","2607c-1781","Larceny/Theft Offenses"
"02060efe-9b39-47d6-89b1-851c4ddd72fe","***","2026-07-14T15:10:39.852Z","1353","2607P-3130","Assault/Battery Offenses (Domestic)"
"69bf357b-3961-4fb2-86c0-48bf66cfabbe","***","2026-07-14T15:16:27.416Z","5","2607P-0539","Larceny/Theft Offenses"
"c7858124-df92-48c2-98a8-fa72fde40369","***","2026-07-14T15:22:12.241Z","1","2607c-1825","Robbery"
"62f123b8-c3bc-4ee9-8494-d5480ba34f4f","***","2026-07-14T16:03:07.396Z","1","2607c-1825","Robbery"
"c721a02f-5628-496c-95e3-38481aa494a0","***","2026-07-14T16:13:52.002Z","1360","2607P-0539","Larceny/Theft Offenses"
"6633eced-2b5e-4f4a-b03b-c3a76c438903","***","2026-07-14T16:51:09.885Z","3","2607P-3163","Destruction/Damage/Vandalism of Property"
"8df14dd3-178e-4ee2-a25a-cf6e259a85e1","***","2026-07-14T16:54:43.425Z","1244","2607p-3163","Destruction/Damage/Vandalism of Property"
"53bbc899-a055-4887-8561-d3de416fd58f","***","2026-07-14T16:56:43.106Z","3","2607p-3163","Destruction/Damage/Vandalism of Property"
"488c04e3-7d68-4651-940e-b47a4fcafe6d","***","2026-07-14T16:59:16.302Z","1237","2607","Alcohol Offenses (Non-DUI)"
"c4957faa-467a-47e5-b12f-52ed72da105e","***","2026-07-14T17:00:20.098Z","1244","2607p-3163","Destruction/Damage/Vandalism of Property"
"6cf87427-ce48-492f-badf-b06ea6e4b86f","***","2026-07-14T17:00:56.907Z","3","2607p-3163","Destruction/Damage/Vandalism of Property"
"bcfb4cb4-fec7-461b-a7e4-4c3ab4061c3a","***","2026-07-14T17:01:42.766Z","1360","2607P-3163","Disturbing Public Peace/Riot"
"e6c4c22d-bbed-4bee-8372-fc03baf2fdd0","***","2026-07-14T17:03:19.656Z","1244","2607P-3163","Destruction/Damage/Vandalism of Property"
"5df53cab-b493-46bc-83b7-cfc85780bd53","***","2026-07-14T17:28:14.755Z","1353","2605P-0376","Hit and Run/Car Accident"
"bb370756-0e3e-4014-a5c1-3269c21fcecd","***","2026-07-14T17:57:28.313Z","1360","2607P-3183","Missing/Endangered Person/Runaway"
"81b22d64-5f6b-446e-aafe-092d7f23e624","***","2026-07-14T18:13:44.927Z","1244","Cv261950001","Drugs/Narcotics"
"8ca7f962-8898-41b5-a2f3-d7dd71134c2b","***","2026-07-14T18:28:20.403Z","1360","2606p-0539","Larceny/Theft Offenses"
"b2c9597d-1bd5-45fd-9946-26ff3a27f0be","***","2026-07-14T18:28:50.691Z","1360","2607P-0539","Larceny/Theft Offenses"
"9a3e6b77-4d2b-4e51-8691-d7d33009a46d","***","2026-07-14T18:33:20.266Z","2","2606p-0539","Larceny/Theft Offenses"
"4f43aa6a-46b9-472f-bb6c-3398d5cb624f","***","2026-07-14T18:48:44.295Z","1360","2607P-3183","Missing/Endangered Person/Runaway"
"a8536bf6-3c94-453a-a633-c5c8ff025cac","***","2026-07-14T18:51:56.390Z","1353","2606P-3000","Disorderly Conduct/Disturbance"
"549aa69a-bac6-45d4-8a78-bce8caf9ffe0","***","2026-07-14T18:55:59.050Z","1360","2607P-2694","Hit and Run/Car Accident"
"ddd259e6-3a08-46d4-aff6-dec9d4280e7c","***","2026-07-14T19:06:20.607Z","1360","2607P-2694","Hit and Run/Car Accident"
"6983e9dd-568f-4188-8fce-97d94b8fccfb","***","2026-07-14T19:11:56.547Z","1237","2607","Alcohol Offenses (Non-DUI)"
"0f2572e8-8277-4674-b42e-4460b6815227","***","2026-07-14T19:47:00.368Z","5","2607P-0539","Larceny/Theft Offenses"
"f6d27b03-0788-4936-9638-f963a26a0f9c","***","2026-07-14T20:01:26.061Z","1360","2607P-2694","Hit and Run/Car Accident"
"48ee52f5-2f7e-4479-9a39-0246f166b3e5","***","2026-07-14T21:22:32.214Z","2","2607P-0637","Larceny/Theft Offenses"
"bb2f8417-0fb9-45f9-af13-86012f0e0a94","***","2026-07-14T22:38:24.295Z","1360","2607P-0872","Financial Crime (Embezzlement/Fraud)"
"915360fb-39bc-4d7d-8d47-342cb42766c7","***","2026-07-14T22:40:34.311Z","1360","2607P-2539","Burglary/Breaking & Entering"
"90d1b787-b82a-4317-8e4a-e282cecea86d","***","2026-07-14T23:02:38.923Z","1360","2607P-2539","Burglary/Breaking & Entering"
"53aa7f70-703e-4fac-90ea-023633f2c768","***","2026-07-14T23:06:18.824Z","1244","Cv261760003","Drugs/Narcotics"
"d496e2fd-4c93-4b08-b8d6-1625b6d841ee","***","2026-07-15T02:47:17.205Z","1","2607P-3276","Driving Under the Influence (DUI/DWI/OWI/OVI)"
"f730ced8-373f-458f-9711-351f3e904a99","***","2026-07-15T06:33:36.604Z","1353","2607d-3111","Wanted Person (Arrest Warrant/Fugitive)"
"5bae9025-0259-4800-9c83-8f1a5c68e3f6","***","2026-07-15T14:08:46.303Z","1360","2607P-3318","Larceny/Theft Offenses"
"e4dc6ac0-2932-477d-bd80-61943c51df95","***","2026-07-15T14:08:54.454Z","1244","Cv261770002","Drugs/Narcotics"
"d9942231-e5d3-4958-8269-05fadb0420cb","***","2026-07-15T14:13:53.402Z","1360","2607P-3318","Burglary/Breaking & Entering"
"a34fb56d-8a5e-48e0-9057-23cf22a73f25","***","2026-07-15T14:30:03.011Z","1360","2607p-3363","Stolen Property Offenses"
"4605599c-64d9-4913-b689-3159de3fa0d4","***","2026-07-15T15:08:18.243Z","1","2607P-3318","Burglary/Breaking & Entering"
"aa0ccb95-cc67-42ea-8c8c-15d66d339c41","***","2026-07-15T16:08:18.783Z","2","2607P-3318","Burglary/Breaking & Entering"
"796aa7c4-00ae-4346-ba74-d4b36c581620","***","2026-07-15T16:45:52.600Z","1360","2607p-3363","Stolen Property Offenses"
"f49ade1a-244e-4216-8f52-2abbac1be711","***","2026-07-15T17:19:04.732Z","1360","2607P-2694","Hit and Run/Car Accident"
"f41f939b-eedd-48d9-9846-13262d17ee6b","***","2026-07-15T17:20:48.624Z","1244","Cv261770002","Drugs/Narcotics"
"892a42e3-005e-4ee5-abba-780a86074d34","***","2026-07-15T18:24:04.818Z","1","2607P-3422","Disorderly Conduct/Disturbance"
"285f284b-8da4-4a69-9a14-dfda486fa3db","***","2026-07-15T18:24:54.582Z","1360","2607P-3422","Welfare Check"
"76de7a8c-a525-4e8e-abd0-7528f9f8a6fc","***","2026-07-15T18:29:53.591Z","1360","2607P-3318","Larceny/Theft Offenses"
