"id","searchDate","networkCount","offenseType"
"bdd3f70b-5689-4fa0-bfd3-491c75d937c0","2026-07-14T16:27:22.700Z","384","Hit and Run/Car Accident"
"d1564026-3cf3-4465-9f2f-37a333a33ca8","2026-07-14T19:53:05.872Z","384","Hit and Run/Car Accident"
"17014d2e-23ac-46c1-96a3-8021f5252877","2026-07-14T20:09:10.691Z","384","Hit and Run/Car Accident"
